<p>a                             一个
aah                              啊啊
aardvark                         土豚
ab                               AB
aback                            吃惊
abacus                           算盘
abaft                            后方
abalone                          鲍鱼
abandon                          放弃
abandonment                      放弃
abase                            安倍
abasement                        水泥
abash                            惊讶
abashed                          羞愧
abashment                        羞愧
abate                            减弱
abated                           减弱
abatement                        减排
abattoir                         屠宰场
abbe                             阿贝
abbess                           女修道院院长
abbey                            修道院
abbot                            住持
abbr                             缩写
abbrev                           abbrev
abbreviate                       缩写
abbreviation                     缩写
abdicate                         放弃
abdication                       退位
abdomen                          腹部
abdominal                        腹部
abduct                           拐
abductee                         ���绑架者
abduction                        绑架
abductor                         绑架者
abeam                            正交
aberrant                         异常
aberration                       像差
aberrational                     异常的
abet                             助长
abetted                          教唆
abetting                         教唆
abettor                          教唆犯
abeyance                         暂缓
abhor                            痛恨
abhorred                         令人厌恶
abhorrence                       憎恶
abhorrent                        令人憎恶
abhorring                        令人厌恶
abidance                         遵守
abide                            遵守
abiding                          遵守
ability                          能力
abject                           卑贱的
abjection                        落魄
abjectness                       卑贱
abjuration                       放弃
abjuratory                       宣誓的
abjure                           放弃誓言
abjurer                          放弃誓言
ablate                           消融
ablation                         消融
ablative                         夺格
ablaze                           燃烧
able                             有能力的
abler                            阿布勒尔
abloom                           盛开
ablution                         沐浴
abnegate                         自我牺牲
abnegation                       放弃
abnormal                         异常
abnormality                      紊乱
aboard                           etc.
abode                            船上
abolish                          居所
abolition                        取消
abolitionism                     废除
abolitionist                     废奴主义
abominable                       废奴主义者
abominably                       可恶
abominate                        令人憎恶地
abomination                      鄙弃
aboriginal                       厌恶
aborigine                        土著
aborning                         原住民
abort                            出生
abortion                         中止
abortionist                      流产
abortive                         堕胎者
abound                           未遂
about                            盛产
above                            关于
aboveboard                       多于
abracadabra                      光明正大
abrade                           胡言乱语
abrasion                         拥抱
abrasive                         磨损
abrasiveness                     磨料
abreast                          磨蚀性
abridge                          并肩
abridgment                       删节
abroad                           删节
abrogate                         国外
abrogation                       废除
abrogator                        废除
abrupt                           废止者
abruptness                       突然
abs                              突然
abscess                          腹肌
abscissa                         脓肿
abscission                       横坐标
abscond                          脱落
absconder                        隐藏
abseil                           隐藏
absence                          沿绳下降
absent                           缺席
absentee                         缺席的
absenteeism                      缺席者
absentminded                     旷工
absentmindedness                 恍惚
absinthe                         心不在焉
absolute                         苦艾酒
absoluteness                     绝对
absolution                       绝对性
absolutism                       赦免
absolutist                       绝对主义
absolve                          绝对主义者
absorb                           开脱
absorbance                       吸收
absorbency                       吸光度
absorbent                        吸水率
absorbing                        吸收剂
absorption                       吸收
absorptive                       吸收
abstain                          吸收性
abstainer                        弃权
abstemious                       弃权者
abstemiousness                   节制的
abstention                       节制
